"zkrBudovy";"cisloMistnosti";"katedra";"pracoviste";"typCiselne";"typ";"kapacita";"spolecnyFond";"provozOd";"provozDo";"poznamka";"plocha";"vyskaMistnosti";"dvereCislo";"podlazi";"obec";"ulice";"cisloPopisne";"adresaBudovy";"serial";"urlMistnost";"urlBudova";"identifikatorMistnost";"identifikatorBudova";"budovaGPSX";"budovaGPSY"
"J";"J1";"FIM";"Fakulta informatiky a managementu";"U";"Uèebna";"150";"ano";"1.1.1900";"";"[93610] posluchárna 150 osob (02900) T:PV K:150";"";"";"93610  ";"3";"Hradec Králové";"Hradecká";" 1249";"Hradecká,1249, Hradec Králové";"";"";"";"PAS-4390";"32";"50.2042789543";"15.8293537603"
"J";"J10";"FIM";"Fakulta informatiky a managementu";"U";"Uèebna";"20";"ano";"1.1.1900";"";"[92110] poèítaèová uèebna PC20 (02910) T:US K:20";"";"";"92110  ";"2";"Hradec Králové";"Hradecká";" 1249";"Hradecká,1249, Hradec Králové";"";"";"";"PAS-4265";"32";"50.2042789543";"15.8293537603"
"J";"J11";"FIM";"Fakulta informatiky a managementu";"U";"Uèebna";"10";"ano";"1.1.1900";"";"[92300] poèítaèová uèebna PC10 (02910) T:US K:10";"";"";"92300  ";"2";"Hradec Králové";"Hradecká";" 1249";"Hradecká,1249, Hradec Králové";"";"";"";"PAS-4288";"32";"50.2042789543";"15.8293537603"
"J";"J12";"FIM";"Fakulta informatiky a managementu";"U";"Uèebna";"60";"ano";"1.1.1900";"";"[92120] posluchárna P60 (02900) T:PM K:60";"";"";"92120  ";"2";"Hradec Králové";"Hradecká";" 1249";"Hradecká,1249, Hradec Králové";"";"";"";"PAS-4266";"32";"50.2042789543";"15.8293537603"
"J";"J13";"FIM";"Fakulta informatiky a managementu";"U";"Uèebna";"60";"ano";"1.1.1900";"";"[92130] posluchárna P60 (02900) T:PM K:60";"";"";"92130  ";"2";"Hradec Králové";"Hradecká";" 1249";"Hradecká,1249, Hradec Králové";"";"";"";"PAS-4267";"32";"50.2042789543";"15.8293537603"
"J";"J14";"FIM";"Fakulta informatiky a managementu";"U";"Uèebna";"10";"ano";"1.1.1900";"";"[92310] seminární uèebna S10 (02900) T:SM K:10";"";"";"92310  ";"2";"Hradec Králové";"Hradecká";" 1249";"Hradecká,1249, Hradec Králové";"";"";"";"PAS-4289";"32";"50.2042789543";"15.8293537603"
"J";"J15";"FIM";"Fakulta informatiky a managementu";"U";"Uèebna";"25";"ano";"1.1.1900";"";"[92140] seminární uèebna S25 (02900) T:SM K:25";"";"";"92140  ";"2";"Hradec Králové";"Hradecká";" 1249";"Hradecká,1249, Hradec Králové";"";"";"";"PAS-4268";"32";"50.2042789543";"15.8293537603"
"J";"J16";"FIM";"Fakulta informatiky a managementu";"U";"Uèebna";"20";"ano";"1.1.1900";"";"[93580] jazyková uèebna JU20 (02900) T:US K:20";"";"";"93580  ";"3";"Hradec Králové";"Hradecká";" 1249";"Hradecká,1249, Hradec Králové";"";"";"";"PAS-4387";"32";"50.2042789543";"15.8293537603"
"J";"J17";"FIM";"Fakulta informatiky a managementu";"U";"Uèebna";"20";"ano";"1.1.1900";"";"[93590] jazyková uèebna JU20 (02900) T:US K:20";"";"";"93590  ";"3";"Hradec Králové";"Hradecká";" 1249";"Hradecká,1249, Hradec Králové";"";"";"";"PAS-4388";"32";"50.2042789543";"15.8293537603"
"J";"J18";"FIM";"Fakulta informatiky a managementu";"U";"Uèebna";"20";"ano";"1.1.1900";"";"[93600] jazyková uèebna JU20 (02900) T:US K:20";"";"";"93600  ";"3";"Hradec Králové";"Hradecká";" 1249";"Hradecká,1249, Hradec Králové";"";"";"";"PAS-4389";"32";"50.2042789543";"15.8293537603"
