"zkratka";"katedra";"nazev";"kreditu";"rok";"statut";"doporucenyRocnik";"doporucenySemestr";"vyznamPredmetu";"vyukaLS";"vyukaZS";"rozsah";"typZk"
"UPROM";"KIKM";"Úvod do programování";"3";"2024";"A";"1";"ZS";"P";"N";"A";"0+2+0";"Zp"
"ZMI1";"KIKM";"Základy matematiky pro informatiky I";"7";"2024";"A";"1";"ZS";"B";"N";"A";"2+2+0";"Zk+"
"PRIPO";"KIT";"Principy poèítaèù";"5";"2024";"A";"1";"ZS";"T";"N";"A";"2+1+0";"Zk+"
"SYSP";"KIT";"Systémové pøístupy";"4";"2024";"A";"1";"ZS";"B";"N";"A";"1+2+0";"Zk+"
"TNPW1";"KIT";"Technologie pro publikování na Webu I";"5";"2024";"A";"1";"ZS";"P";"A";"A";"1+2+0";"Zk+"
"UOMO";"KIT";"Úvod do objektového modelování";"5";"2024";"A";"1";"ZS";"T";"N";"A";"1+1+0";"Zp"
"DIMA";"KIKM";"Diskrétní matematika";"5";"2024";"A";"1";"LS";"T";"A";"N";"2+2+0";"Zk+"
"PRO1";"KIKM";"Programování I";"5";"2024";"A";"1";"LS";"T";"A";"N";"2+2+0";"Zk+"
"ZMI2";"KIKM";"Základy matematiky pro informatiky II";"7";"2024";"A";"1";"LS";"B";"A";"N";"2+2+0";"Zk+"
"ARCH";"KIT";"Architektura poèítaèù";"5";"2024";"A";"1";"LS";"T";"A";"N";"2+0+0";"Zk+"
"OS1A";"KIT";"Operaèní systémy I";"6";"2024";"A";"1";"LS";"T";"A";"N";"2+2+0";"Zk+"
"MIEK1";"KE";"Mikroekonomie I";"6";"2024";"C";"1";"ZS";"B";"N";"A";"2+2+0";"Zk+"
"POHA";"KRCR";"Pohybová aktivita";"2";"2024";"C";"1";"ZS";"B";"A";"A";"0+2+0";"Zp"
"MAEK1";"KE";"Makroekonomie I";"6";"2024";"C";"1";"LS";"B";"A";"N";"2+2+0";"Zk+"
"ZUCET";"KE";"Základy úèetnictví";"4";"2024";"C";"1";"LS";"B";"A";"N";"2+1+0";"Zk+"
"UPI";"KIT";"Úvod do podnikové informatiky";"3";"2024";"C";"1";"LS";"B";"A";"N";"1+1+0";"Zp"
"POHA";"KRCR";"Pohybová aktivita";"2";"2024";"C";"1";"LS";"B";"A";"A";"0+2+0";"Zp"
"PR";"SOFIM";"Praktický projekt";"6";"2024";"C";"1";"LS";"B";"A";"A";"0+0+6";"Zp"
"VP";"SOFIM";"Výbìrový projekt";"6";"2024";"C";"1";"LS";"B";"A";"A";"0+0+6";"Zp"
"OA1";"KAL";"Odborný anglický jazyk I";"2";"2024";"A";"2";"ZS";"B";"N";"A";"0+2+0";"Zp"
"DBS";"KIKM";"Databázové systémy I";"6";"2024";"A";"2";"ZS";"P";"N";"A";"2+2+0";"Zk+"
"PALG";"KIKM";"Pokroèilá algoritmizace";"5";"2024";"A";"2";"ZS";"T";"N";"A";"2+2+0";"Zk+"
"PGRF1";"KIKM";"Poèítaèová grafika I";"6";"2024";"A";"2";"ZS";"P";"N";"A";"2+2+0";"Zk+"
"PRPA";"KIKM";"Programovací paradigmata";"5";"2024";"A";"2";"ZS";"T";"N";"A";"2+2+0";"Zk+"
"PSIT1";"KIT";"Poèítaèové sítì I";"5";"2024";"A";"2";"ZS";"P";"N";"A";"2+2+0";"Zk+"
"OA2";"KAL";"Odborný anglický jazyk II";"2";"2024";"A";"2";"LS";"B";"A";"N";"0+2+0";"Zk+"
"DBS2";"KIKM";"Databázové systémy II";"5";"2024";"A";"2";"LS";"P";"A";"N";"2+2+0";"Zk+"
"PGRF2";"KIKM";"Poèítaèová grafika II";"6";"2024";"A";"2";"LS";"P";"A";"N";"2+2+0";"Zk+"
"PRO2";"KIKM";"Programování II";"6";"2024";"A";"2";"LS";"T";"A";"A";"2+2+0";"Zk+"
"TNPW2";"KIT";"Technologie pro publikování na Webu II";"5";"2024";"A";"2";"LS";"P";"A";"N";"1+2+0";"Zp"
"UUI";"KIT";"Úvod do umìlé inteligence";"4";"2024";"A";"2";"LS";"T";"A";"N";"2+0+0";"Zk"
"MES";"KRCR";"Metodologický semináø";"2";"2024";"A";"2";"LS";"B";"A";"N";"0+0+2";"ZpKP"
"TZT";"KIT";"Transfer znalostí a technologií";"3";"2024";"C";"2";"ZS";"B";"N";"A";"0+2+0";"Zp"
"PR";"SOFIM";"Praktický projekt";"6";"2024";"C";"2";"ZS";"B";"A";"A";"0+0+6";"Zp"
"VP";"SOFIM";"Výbìrový projekt";"6";"2024";"C";"2";"ZS";"B";"A";"A";"0+0+6";"Zp"
"ET";"KIT";"E-technologie v obchodu a podnikání";"4";"2024";"C";"2";"LS";"B";"A";"N";"1+1+0";"Zk+"
"PSIT2";"KIT";"Poèítaèové sítì II";"5";"2024";"C";"2";"LS";"B";"A";"N";"2+2+0";"Zk+"
